model_name,input_tokens,output_tokens,num_requests,concurrent_requests,qps,qps_distribution,multimodal_img_size
DeepSWE-Preview,32000,100,10,1,,,
DeepSWE-Preview,32000,100,30,3,,,
DeepSWE-Preview,32000,100,50,5,,,
DeepSWE-Preview,32000,100,90,9,,,
Gazal-R1-32B-sft-merged-preview,8000,100,10,1,,,
Gazal-R1-32B-sft-merged-preview,8000,100,50,5,,,
Gazal-R1-32B-sft-merged-preview,16000,100,10,1,,,
Gazal-R1-32B-sft-merged-preview,32000,100,10,1,,,
Gazal-R1-32B-sft-merged-preview,32000,100,30,3,,,
Gazal-R1-32B-sft-merged-preview,32000,100,50,5,,,
Gazal-R1-32B-sft-merged-preview,32000,100,90,9,,,
INFIndo-Qwen3-32B-Preview,8000,100,10,1,,,
INFIndo-Qwen3-32B-Preview,8000,100,50,5,,,
INFIndo-Qwen3-32B-Preview,16000,100,10,1,,,
INFIndo-Qwen3-32B-Preview,32000,100,10,1,,,
INFIndo-Qwen3-32B-Preview,32000,100,30,3,,,
INFIndo-Qwen3-32B-Preview,32000,100,50,5,,,
INFIndo-Qwen3-32B-Preview,32000,100,90,9,,,
Qwen3-32B-abliterated,8000,100,10,1,,,
Qwen3-32B-abliterated,8000,100,50,5,,,
Qwen3-32B-abliterated,16000,100,10,1,,,
Qwen3-32B-abliterated,32000,100,10,1,,,
Qwen3-32B-abliterated,32000,100,30,3,,,
Qwen3-32B-abliterated,32000,100,50,5,,,
Qwen3-32B-abliterated,32000,100,90,9,,,
Qwen3-32B-bf16,8000,100,10,1,,,
Qwen3-32B-bf16,8000,100,50,5,,,
Qwen3-32B-bf16,16000,100,10,1,,,
Qwen3-32B-bf16,32000,100,10,1,,,
Qwen3-32B-bf16,32000,100,30,3,,,
Qwen3-32B-bf16,32000,100,50,5,,,
Qwen3-32B-bf16,32000,100,90,9,,,
Qwen3-32B-Copy,8000,100,10,1,,,
Qwen3-32B-Copy,8000,100,50,5,,,
Qwen3-32B-Copy,16000,100,10,1,,,
Qwen3-32B-Copy,32000,100,10,1,,,
Qwen3-32B-Copy,32000,100,30,3,,,
Qwen3-32B-Copy,32000,100,50,5,,,
Qwen3-32B-Copy,32000,100,90,9,,,
Smoothie-Qwen3-32B,8000,100,10,1,,,
Smoothie-Qwen3-32B,8000,100,50,5,,,
Smoothie-Qwen3-32B,16000,100,10,1,,,
Smoothie-Qwen3-32B,32000,100,10,1,,,
Smoothie-Qwen3-32B,32000,100,30,3,,,
Smoothie-Qwen3-32B,32000,100,50,5,,,
Smoothie-Qwen3-32B,32000,100,90,9,,,
UIGEN-T3-32B-Preview,8000,100,10,1,,,
UIGEN-T3-32B-Preview,8000,100,50,5,,,
UIGEN-T3-32B-Preview,16000,100,10,1,,,
UIGEN-T3-32B-Preview,32000,100,10,1,,,
UIGEN-T3-32B-Preview,32000,100,30,3,,,
UIGEN-T3-32B-Preview,32000,100,50,5,,,
UIGEN-T3-32B-Preview,32000,100,90,9,,,
14B-Qwen2.5-Freya-x1,3900,100,10,1,,,
14B-Qwen2.5-Freya-x1,3900,100,50,5,,,
14B-Qwen2.5-Freya-x1,3900,100,90,9,,,
14B-Qwen2.5-Freya-x1,8000,100,10,1,,,
14B-Qwen2.5-Freya-x1,8000,100,50,5,,,
14B-Qwen2.5-Freya-x1,8000,100,90,9,,,
EVA-Qwen2.5-14B-v0.0,3900,100,10,1,,,
EVA-Qwen2.5-14B-v0.0,3900,100,50,5,,,
EVA-Qwen2.5-14B-v0.0,3900,100,90,9,,,
EVA-Qwen2.5-14B-v0.0,8000,100,10,1,,,
EVA-Qwen2.5-14B-v0.0,8000,100,50,5,,,
EVA-Qwen2.5-14B-v0.0,8000,100,90,9,,,
General-Reasoner-Qwen2.5-14B,3900,100,10,1,,,
General-Reasoner-Qwen2.5-14B,3900,100,50,5,,,
General-Reasoner-Qwen2.5-14B,3900,100,90,9,,,
General-Reasoner-Qwen2.5-14B,8000,100,10,1,,,
General-Reasoner-Qwen2.5-14B,8000,100,50,5,,,
General-Reasoner-Qwen2.5-14B,8000,100,90,9,,,
Qwen2.5-Coder-14B,3900,100,10,1,,,
Qwen2.5-Coder-14B,3900,100,50,5,,,
Qwen2.5-Coder-14B,3900,100,90,9,,,
Qwen2.5-Coder-14B,8000,100,10,1,,,
Qwen2.5-Coder-14B,8000,100,50,5,,,
Qwen2.5-Coder-14B,8000,100,90,9,,,
SauerkrautLM-v2-14b-SFT,3900,100,10,1,,,
SauerkrautLM-v2-14b-SFT,3900,100,50,5,,,
SauerkrautLM-v2-14b-SFT,3900,100,90,9,,,
SauerkrautLM-v2-14b-SFT,8000,100,10,1,,,
SauerkrautLM-v2-14b-SFT,8000,100,50,5,,,
SauerkrautLM-v2-14b-SFT,8000,100,90,9,,,
SuperNova-Medius,3900,100,10,1,,,
SuperNova-Medius,3900,100,50,5,,,
SuperNova-Medius,3900,100,90,9,,,
SuperNova-Medius,8000,100,10,1,,,
SuperNova-Medius,8000,100,50,5,,,
SuperNova-Medius,8000,100,90,9,,,
Tsunami-1.0-14B-Instruct,3900,100,10,1,,,
Tsunami-1.0-14B-Instruct,3900,100,50,5,,,
Tsunami-1.0-14B-Instruct,3900,100,90,9,,,
Tsunami-1.0-14B-Instruct,8000,100,10,1,,,
Tsunami-1.0-14B-Instruct,8000,100,50,5,,,
Tsunami-1.0-14B-Instruct,8000,100,90,9,,,
Virtuoso-Small,3900,100,10,1,,,
Virtuoso-Small,3900,100,50,5,,,
Virtuoso-Small,3900,100,90,9,,,
Virtuoso-Small,8000,100,10,1,,,
Virtuoso-Small,8000,100,50,5,,,
Virtuoso-Small,8000,100,90,9,,,
legml-v0.1,3900,100,10,1,,,
legml-v0.1,3900,100,50,5,,,
legml-v0.1,3900,100,90,9,,,
legml-v0.1,8000,100,10,1,,,
legml-v0.1,8000,100,50,5,,,
legml-v0.1,8000,100,90,9,,,
